Category: All categories

Month,Roger Federer: (Worldwide),Rafael Nadal: (Worldwide)
2004-01,4,1
2004-02,5,3
2004-03,3,2
2004-04,2,2
2004-05,3,1
2004-06,4,1
2004-07,9,1
2004-08,6,1
2004-09,12,1
2004-10,4,1
2004-11,7,<1
2004-12,4,5
2005-01,10,3
2005-02,5,2
2005-03,7,1
2005-04,7,7
2005-05,8,11
2005-06,14,38
2005-07,17,12
2005-08,9,12
2005-09,23,11
2005-10,8,10
2005-11,8,8
2005-12,5,6
2006-01,18,6
2006-02,9,6
2006-03,8,8
2006-04,9,8
2006-05,10,12
2006-06,15,30
2006-07,17,17
2006-08,10,9
2006-09,21,10
2006-10,11,7
2006-11,13,6
2006-12,6,4
2007-01,23,9
2007-02,12,5
2007-03,12,7
2007-04,9,7
2007-05,15,11
2007-06,23,21
2007-07,27,17
2007-08,15,9
2007-09,28,8
2007-10,11,5
2007-11,15,6
2007-12,8,4
2008-01,20,9
2008-02,9,4
2008-03,12,5
2008-04,13,7
2008-05,12,10
2008-06,22,20
2008-07,40,32
2008-08,24,21
2008-09,24,16
2008-10,14,9
2008-11,11,8
2008-12,7,6
2009-01,19,13
2009-02,23,19
2009-03,14,10
2009-04,18,13
2009-05,20,17
2009-06,67,24
2009-07,69,16
2009-08,28,12
2009-09,38,17
2009-10,12,9
2009-11,16,8
2009-12,12,6
2010-01,33,13
2010-02,18,12
2010-03,13,12
2010-04,12,13
2010-05,17,16
2010-06,27,29
2010-07,14,21
2010-08,22,10
2010-09,29,30
2010-10,13,10
2010-11,18,10
2010-12,12,9
2011-01,24,19
2011-02,10,8
2011-03,10,10
2011-04,11,12
2011-05,15,14
2011-06,46,35
2011-07,13,18
2011-08,12,10
2011-09,24,23
2011-10,8,8
2011-11,22,9
2011-12,10,8
2012-01,26,23
2012-02,10,9
2012-03,20,9
2012-04,10,9
2012-05,18,12
2012-06,32,35
2012-07,73,14
2012-08,41,9
2012-09,23,8
2012-10,17,7
2012-11,16,6
2012-12,10,6
2013-01,29,10
2013-02,9,11
2013-03,10,13
2013-04,8,9
2013-05,17,15
2013-06,33,35
2013-07,18,8
2013-08,20,18
2013-09,18,26
2013-10,15,11
2013-11,16,13
2013-12,8,6
2014-01,37,29
2014-02,9,8
2014-03,21,11
2014-04,15,8
2014-05,27,15
2014-06,27,34
2014-07,37,13
2014-08,30,8
2014-09,26,8
2014-10,21,7
2014-11,26,6
2014-12,12,5
2015-01,24,15
2015-02,13,7
2015-03,17,8
2015-04,11,8
2015-05,20,15
2015-06,24,18
2015-07,53,15
2015-08,18,11
2015-09,43,14
2015-10,11,9
2015-11,19,10
2015-12,8,5
2016-01,29,11
2016-02,9,6
2016-03,9,9
2016-04,9,12
2016-05,13,13
2016-06,20,7
2016-07,35,6
2016-08,8,18
2016-09,8,8
2016-10,6,4
2016-11,6,4
2016-12,6,4
2017-01,75,38
2017-02,16,5
2017-03,27,8
2017-04,22,12
2017-05,13,14
2017-06,23,30
2017-07,87,20
2017-08,32,11
2017-09,34,27
2017-10,26,13
2017-11,19,9
2017-12,10,4
2018-01,73,21
2018-02,35,6
2018-03,33,5
2018-04,10,14
2018-05,12,21
2018-06,35,36
2018-07,45,31
2018-08,25,17
2018-09,28,23
2018-10,19,6
2018-11,22,5
2018-12,8,4
2019-01,37,28
2019-02,12,5
2019-03,44,11
2019-04,16,13
2019-05,33,26
2019-06,53,43
2019-07,100,39
2019-08,25,19
2019-09,29,43
2019-10,31,17
2019-11,31,34
2019-12,9,5
2020-01,56,45
2020-02,15,15
2020-03,7,7
2020-04,8,4
2020-05,7,4
2020-06,8,4
2020-07,8,4
2020-08,7,4
2020-09,11,18
2020-10,12,47
2020-11,5,35
2020-12,8,4
2021-01,5,4
2021-02,13,32
2021-03,18,4
2021-04,7,25
2021-05,16,33
2021-06,49,50
2021-07,49,9
2021-08,9,12
2021-09,8,5
2021-10,4,3
2021-11,4,3
2021-12,4,5
2022-01,15,78
2022-02,5,28
2022-03,5,47
